dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
Deezer Classification,SimpleGNN,0.6055152907901714,0.0035653674344645996,0.5968740153625971,0.005524571866166158,0.5845703158213149,0.006577448009630516,0.5800085113027184,0.007494094148972163,0.5845703158213149,0.006577448009630531,,,9.595474147796631,1.027570983530912,9.595474147796631,1.027570983530912,,,0.0,0.0
Deezer Classification,SimpleGraphSAGE,0.6605621354074598,0.006638258747536389,0.6601614032967518,0.008075394987690594,0.641317585316475,0.007638417881415878,0.6399133181704176,0.007913802857678318,,,,,262.86137318611145,1.917386614417287,262.86137318611145,1.917386614417287,0.0,0.0,0.0,0.0
Deezer Classification,Struct-G Internal Classifier,0.8539508573448824,0.02370507156756006,0.8606817962214389,0.018268844174055665,0.8469422389780968,0.03006570884217664,0.8493030342546343,0.02699090548474283,0.8469422389780968,0.030065708842176655,,,3567.4192008018495,49.75347248988921,1272.8184378623962,44.18657992807943,2294.600762939453,6.499546414795258,0.0,0.0
Deezer Classification,Struct-G Structural Only Pretrain,0.6114194802899063,0.02215950012787805,0.6146106257473981,0.010112276615848782,0.6119356216125206,0.012676354057011237,0.6058586117795064,0.019816226293022276,0.6119356216125206,0.012676354057011228,,,1325.6184912681579,4.4486670922306075,1254.793546628952,4.054237060446478,70.82494463920594,0.6524440593963803,0.0,0.0
Deezer Link Prediction,Deep GCN,0.5151293723047436,0.0307047710234681,0.5085461666960774,0.017501806981788208,0.986032582654528,0.022153808129745264,0.6706288932332598,0.009659760462321993,0.5982847390318005,0.18798470177978038,0.6274610581374025,0.15906114626915666,226.99777779579162,3.371509620957077,0.0,0.0,153.0835500240326,2.9713552206355516,73.91422777175903,1.0849943851750867
Deezer Link Prediction,GPT-GNN,0.49245308132570215,0.011220149400899555,0.49303263571040834,0.011001474550406306,0.49464927459070945,0.020935946640241634,0.49343450795030447,0.005550045355320322,0.49220957820145783,0.012076755027070372,0.4945152258272937,0.010984564834130916,1117.018668794632,5.941722481995883,0.0,0.0,858.9300415039063,4.452652203220574,258.0886272907257,1.504763034353071
Deezer Link Prediction,SimpleGAT,0.6724877783813146,0.012474154751863312,0.6162751370319339,0.01029437262477302,0.9151004888647474,0.014669211215578378,0.7364547764209649,0.008585582523549469,0.8128488756169819,0.015220294269338817,0.8133630216207827,0.01427279191437999,57.99307894706726,1.4051932294353198,0.0,0.0,,,57.99307894706726,1.4051932294353198
Deezer Link Prediction,SimpleGNN,0.7067593790426908,0.003880122143476359,0.6397004630635845,0.003958920923127783,0.9469383354894351,0.005830152604555823,0.7635541185060101,0.002172500999511222,0.8531980967543928,0.0017437735932607557,0.8465256765309739,0.0014219593127031908,13.592743158340458,0.819764226302251,0.0,0.0,,,13.592743158340458,0.819764226302251
Deezer Link Prediction,SimpleGraphSAGE,0.6670892443907838,0.006674965551726126,0.6100551185937717,0.005693820367419371,0.9265922124962269,0.003351812140212716,0.7356998374928506,0.003372560789728697,0.8215639589037146,0.0028864143191568627,0.8262962671576167,0.0017276491768302628,243.20446181297302,2.6216569868103057,0.0,0.0,0.0,0.0,243.20446181297302,2.6216569868103057
Deezer Link Prediction,Struct-G Internal Classifier,0.5700323255371744,0.021048437752356354,0.9590902755143619,0.029638771150358952,0.14712556252773026,0.04641391173378589,0.2524632430368565,0.07030835595114288,0.7934395527054275,0.02254749905228339,0.8064289665520847,0.0067701155309928766,3565.142766666412,28.19450269097386,0.0,0.0,2294.600762939453,6.499546414795258,1270.5420037269594,22.504889612403225
Deezer Link Prediction,Struct-G Structural Only Pretrain,0.5575358267891211,0.041235779265751595,0.9768117341942858,0.024787110742714107,0.11987222148276322,0.0902800166096407,0.2039498153484946,0.13247110587411637,0.7828611135092103,0.031302275385928585,0.8065194829843684,0.016982186627302755,1440.4327990055085,236.00253607651442,0.0,0.0,70.82494463920594,0.6524440593963803,1369.6078543663025,236.1301517524723
